Country,Investment area,Year,Funder,Amount,Unit,Row type,Source note
Côte d'Ivoire,Frontline healthcare workers,2026,Government,143326565.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 39,800 existing FTEs (2026 value of the printed Existing column) x $3,601.17/FTE (peer gov HCW median); baseline effort, NOT MoU co-financing"
Côte d'Ivoire,Frontline healthcare workers,2027,Government,143326565.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 39,800 existing FTEs (2026 value of the printed Existing column) x $3,601.17/FTE (peer gov HCW median); baseline effort, NOT MoU co-financing"
Côte d'Ivoire,Frontline healthcare workers,2028,Government,143326565.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 39,800 existing FTEs (2026 value of the printed Existing column) x $3,601.17/FTE (peer gov HCW median); baseline effort, NOT MoU co-financing"
Côte d'Ivoire,Frontline healthcare workers,2029,Government,143326565.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 39,800 existing FTEs (2026 value of the printed Existing column) x $3,601.17/FTE (peer gov HCW median); baseline effort, NOT MoU co-financing"
Côte d'Ivoire,Frontline healthcare workers,2030,Government,143326565.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 39,800 existing FTEs (2026 value of the printed Existing column) x $3,601.17/FTE (peer gov HCW median); baseline effort, NOT MoU co-financing"
Côte d'Ivoire,Frontline lab workers,2026,Government,11753205.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 1,900 existing FTEs (2026 value of the printed Existing column) x $6,185.90/FTE (peer lab median); baseline effort, NOT MoU co-financing"
Côte d'Ivoire,Frontline lab workers,2027,Government,11753205.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 1,900 existing FTEs (2026 value of the printed Existing column) x $6,185.90/FTE (peer lab median); baseline effort, NOT MoU co-financing"
Côte d'Ivoire,Frontline lab workers,2028,Government,11753205.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 1,900 existing FTEs (2026 value of the printed Existing column) x $6,185.90/FTE (peer lab median); baseline effort, NOT MoU co-financing"
Côte d'Ivoire,Frontline lab workers,2029,Government,11753205.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 1,900 existing FTEs (2026 value of the printed Existing column) x $6,185.90/FTE (peer lab median); baseline effort, NOT MoU co-financing"
Côte d'Ivoire,Frontline lab workers,2030,Government,11753205.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 1,900 existing FTEs (2026 value of the printed Existing column) x $6,185.90/FTE (peer lab median); baseline effort, NOT MoU co-financing"
Uganda,Frontline healthcare workers,2026,Government,176507746.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 49,014 existing FTEs (2026 value of the printed Existing column) x $3,601.17/FTE (own new-cohort rate (median $3,601)); baseline effort, NOT MoU co-financing"
Uganda,Frontline healthcare workers,2027,Government,176507746.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 49,014 existing FTEs (2026 value of the printed Existing column) x $3,601.17/FTE (own new-cohort rate (median $3,601)); baseline effort, NOT MoU co-financing"
Uganda,Frontline healthcare workers,2028,Government,176507746.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 49,014 existing FTEs (2026 value of the printed Existing column) x $3,601.17/FTE (own new-cohort rate (median $3,601)); baseline effort, NOT MoU co-financing"
Uganda,Frontline healthcare workers,2029,Government,176507746.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 49,014 existing FTEs (2026 value of the printed Existing column) x $3,601.17/FTE (own new-cohort rate (median $3,601)); baseline effort, NOT MoU co-financing"
Uganda,Frontline healthcare workers,2030,Government,176507746.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 49,014 existing FTEs (2026 value of the printed Existing column) x $3,601.17/FTE (own new-cohort rate (median $3,601)); baseline effort, NOT MoU co-financing"
Uganda,Frontline lab workers,2026,Government,13602788.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 2,199 existing FTEs (2026 value of the printed Existing column) x $6,185.90/FTE (peer lab median x wage factor); baseline effort, NOT MoU co-financing"
Uganda,Frontline lab workers,2027,Government,13602788.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 2,199 existing FTEs (2026 value of the printed Existing column) x $6,185.90/FTE (peer lab median x wage factor); baseline effort, NOT MoU co-financing"
Uganda,Frontline lab workers,2028,Government,13602788.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 2,199 existing FTEs (2026 value of the printed Existing column) x $6,185.90/FTE (peer lab median x wage factor); baseline effort, NOT MoU co-financing"
Uganda,Frontline lab workers,2029,Government,13602788.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 2,199 existing FTEs (2026 value of the printed Existing column) x $6,185.90/FTE (peer lab median x wage factor); baseline effort, NOT MoU co-financing"
Uganda,Frontline lab workers,2030,Government,13602788.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 2,199 existing FTEs (2026 value of the printed Existing column) x $6,185.90/FTE (peer lab median x wage factor); baseline effort, NOT MoU co-financing"
Mozambique,Frontline healthcare workers,2026,Government,153426422.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 38,462 existing FTEs (2026 value of the printed Existing column) x $3,989.04/FTE (own printed gov HCW rate); baseline effort, NOT MoU co-financing"
Mozambique,Frontline healthcare workers,2027,Government,153426422.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 38,462 existing FTEs (2026 value of the printed Existing column) x $3,989.04/FTE (own printed gov HCW rate); baseline effort, NOT MoU co-financing"
Mozambique,Frontline healthcare workers,2028,Government,153426422.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 38,462 existing FTEs (2026 value of the printed Existing column) x $3,989.04/FTE (own printed gov HCW rate); baseline effort, NOT MoU co-financing"
Mozambique,Frontline healthcare workers,2029,Government,153426422.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 38,462 existing FTEs (2026 value of the printed Existing column) x $3,989.04/FTE (own printed gov HCW rate); baseline effort, NOT MoU co-financing"
Mozambique,Frontline healthcare workers,2030,Government,153426422.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 38,462 existing FTEs (2026 value of the printed Existing column) x $3,989.04/FTE (own printed gov HCW rate); baseline effort, NOT MoU co-financing"
Liberia,Frontline healthcare workers,2026,Government,29863470.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 6,577 existing FTEs (2026 value of the printed Existing column) x $4,540.59/FTE (own printed gov HCW rate); baseline effort, NOT MoU co-financing"
Liberia,Frontline healthcare workers,2027,Government,29863470.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 6,577 existing FTEs (2026 value of the printed Existing column) x $4,540.59/FTE (own printed gov HCW rate); baseline effort, NOT MoU co-financing"
Liberia,Frontline healthcare workers,2028,Government,29863470.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 6,577 existing FTEs (2026 value of the printed Existing column) x $4,540.59/FTE (own printed gov HCW rate); baseline effort, NOT MoU co-financing"
Liberia,Frontline healthcare workers,2029,Government,29863470.0,USD,Imputed baseline (pre-MoU - derived),"Pre-MoU baseline workforce: 6,577 existing FTEs (2026 value of the printed Existing column) x $4,540.59/FTE (own printed gov HCW rate); baseline effort, NOT MoU co-financing"
